COUNTRY,YEAR,MONTH,TOTAL_PRODUCTION,DOMESTIC_CONSUMPTION,EXPORTABLE_PRODUCTION,GROSS_OPENING_STOCKS
Angola,1990/91,April,50.345,20,30.345,210
Bolivia,1990/91,April,122.777,25,97.777,54
Brazil,1990/91,April,27285.6286,8200,19085.6286,26926
Burundi,1990/91,April,487.393,2,485.393,77
Ecuador,1990/91,April,1503.815,350,1153.815,723.963
Indonesia,1990/91,April,7441.383,1242,6199.383,1319
Madagascar,1990/91,April,982.447,350,632.447,544
Malawi,1990/91,April,104.628,2,102.628,20
Papua New Guinea,1990/91,April,962.841,3,959.841,199
Paraguay,1990/91,April,130.627,15,115.627,188
Peru,1990/91,April,936.632,190,746.632,318
Rwanda,1990/91,April,534.875,1,533.875,134
Timor-Leste,1990/91,April,,,0,0
Zimbabwe,1990/91,April,251.901,8,243.901,160
"Congo, Rep. of",1990/91,July,2.924,3,0,12
Cuba,1990/91,July,414.212,213,201.212,265.7
Dominican Republic,1990/91,July,880.062,320,560.062,560
Haiti,1990/91,July,392.88,220,172.88,47
Philippines,1990/91,July,973.632,720,253.632,1223
Tanzania,1990/91,July,931.779,4,927.779,450
Zambia,1990/91,July,22.686,1.5,21.186,1
Benin,1990/91,October,0,0,0,0
Cameroon,1990/91,October,1682.484,83.3,1599.184,1344
Central African Republic,1990/91,October,175.274,28,147.274,55
Colombia,1990/91,October,14268.387,1235,13033.387,6095
"Congo, Dem. Rep. of",1990/91,October,1580.296,200,1380.296,116
Costa Rica,1990/91,October,2561.885,375,2186.885,343
Côte d'Ivoire,1990/91,October,2940.363,50,2890.363,4796
El Salvador,1990/91,October,2464.864,180,2284.864,245
Equatorial Guinea,1990/91,October,3.536,0,3.536,2
Ethiopia,1990/91,October,2909.451,1200,1709.451,2800
Gabon,1990/91,October,3.408,1.7,1.708,2
Ghana,1990/91,October,37.855,17,20.855,4
Guatemala,1990/91,October,3270.529,300,2970.529,77
Guinea,1990/91,October,44.46,25,19.46,45
Guyana,1990/91,October,,,0,0
Honduras,1990/91,October,1567.958,188.154,1379.804,101.198
India,1990/91,October,2828.687,903,1925.687,826
Jamaica,1990/91,October,22.574,7,15.574,0
Kenya,1990/91,October,1485.135,50,1435.135,766.333
"Lao, People's Dem. Rep. of",1990/91,October,,,0,0
Liberia,1990/91,October,3,3,0,0
Mexico,1990/91,October,4674.245,1374,3300.245,974
Nepal,1990/91,October,,,0,0
Nicaragua,1990/91,October,461.078,34,427.078,56
Nigeria,1990/91,October,29.19,27.5,1.69,0
Panama,1990/91,October,214.987,63,151.987,18
Sierra Leone,1990/91,October,42.783,9,33.783,127
Sri Lanka,1990/91,October,95.87,66.667,29.203,10
Thailand,1990/91,October,757.017,188,569.017,71
Togo,1990/91,October,161.308,1,160.308,59
Trinidad & Tobago,1990/91,October,14.581,8,6.581,5
Uganda,1990/91,October,1955.009,70,1885.009,3100
Venezuela,1990/91,October,1122.477,782.39,340.087,142
Vietnam,1990/91,October,1310.288,150,1160.288,181
Yemen,1990/91,October,,,0,0
Angola,1991/92,April,79.331,30,49.331,161
Bolivia,1991/92,April,106.536,30,76.536,39.8
Brazil,1991/92,April,27293.4934,8500,18793.4934,25548
Burundi,1991/92,April,667.199,1.6,665.599,150
Ecuador,1991/92,April,2123.824,350,1773.824,250
Indonesia,1991/92,April,8493.196,1280,7213.196,798
Madagascar,1991/92,April,932.513,300,632.513,450
Malawi,1991/92,April,124.286,2,122.286,19
Papua New Guinea,1991/92,April,746.816,3,743.816,146
Paraguay,1991/92,April,79.653,15,64.653,135
Peru,1991/92,April,1200.474,190,1010.474,61
Rwanda,1991/92,April,483.83,1,482.83,9
Timor-Leste,1991/92,April,,,0,0
Zimbabwe,1991/92,April,201.394,8,193.394,118.2
"Congo, Rep. of",1991/92,July,3.003,2.667,336,11
Cuba,1991/92,July,302.097,213,89.097,289
Dominican Republic,1991/92,July,320.56,320,0.56,640
Haiti,1991/92,July,463.352,330,133.352,30
Philippines,1991/92,July,1018.482,750,268.482,1344
Tanzania,1991/92,July,789.977,3.5,786.477,408.053
Zambia,1991/92,July,29.138,1.5,27.638,0
Benin,1991/92,October,0,0,0,0
Cameroon,1991/92,October,1725.948,83.333,1642.615,1086
Central African Republic,1991/92,October,124.781,28,96.781,59
Colombia,1991/92,October,17814.866,1400,16414.866,6916
"Congo, Dem. Rep. of",1991/92,October,1229.902,200,1029.902,17
Costa Rica,1991/92,October,2759.619,375,2384.619,120
Côte d'Ivoire,1991/92,October,4129.295,50,4079.295,3352
El Salvador,1991/92,October,2197.692,180,2017.692,512.3
Equatorial Guinea,1991/92,October,2.551,0,2.551,4
Ethiopia,1991/92,October,2924.664,1264,1660.664,3660
Gabon,1991/92,October,1.752,1,752,2
Ghana,1991/92,October,76.306,17,59.306,10
Guatemala,1991/92,October,3496.531,300,3196.531,244.557
Guinea,1991/92,October,90.522,25,65.522,10
Guyana,1991/92,October,,,0,0
Honduras,1991/92,October,2321.808,257.1,2064.708,54
India,1991/92,October,2999.749,916.667,2083.082,1277
Jamaica,1991/92,October,38.987,11,27.987,0
Kenya,1991/92,October,1514.047,50,1464.047,552.067
"Lao, People's Dem. Rep. of",1991/92,October,,,0,0
Liberia,1991/92,October,3,3,0,0
Mexico,1991/92,October,4727.206,1200,3527.206,748
Nepal,1991/92,October,,,0,0
Nicaragua,1991/92,October,707.067,138,569.067,63.162
Nigeria,1991/92,October,44.313,35.75,8.563,0
Panama,1991/92,October,192.532,67,125.532,40
Sierra Leone,1991/92,October,54.379,9,45.379,74
Sri Lanka,1991/92,October,81.549,67,14.549,6
Thailand,1991/92,October,1468.936,220,1248.936,207
Togo,1991/92,October,432.652,1,431.652,38.5
Trinidad & Tobago,1991/92,October,17.792,11.5,6.292,0
Uganda,1991/92,October,2088.001,75,2013.001,2900
Venezuela,1991/92,October,940.704,815.48,125.224,350
Vietnam,1991/92,October,1437.848,230,1207.848,195
Yemen,1991/92,October,,,0,0
Angola,1992/93,April,77.52,35,42.52,136
Bolivia,1992/93,April,122.735,30,92.735,33.4
Brazil,1992/93,April,34603.3542,8900,25703.3542,22625
Burundi,1992/93,April,620.238,1.7,618.538,53.108
Ecuador,1992/93,April,1185.48,350,835.48,552.207
Indonesia,1992/93,April,5569.478,1319,4250.478,2427
Madagascar,1992/93,April,1121.684,350,771.684,403.3
Malawi,1992/93,April,137.161,2,135.161,19
Papua New Guinea,1992/93,April,900.111,3,897.111,95
Paraguay,1992/93,April,54.291,15,39.291,115
Peru,1992/93,April,1761.953,200,1561.953,100
Rwanda,1992/93,April,638.875,1,637.875,10
Timor-Leste,1992/93,April,,,0,0
Zimbabwe,1992/93,April,77.824,8,69.824,98
"Congo, Rep. of",1992/93,July,3.171,2.667,504,11
Cuba,1992/93,July,284.237,195,89.237,219
Dominican Republic,1992/93,July,637.815,320,317.815,300
Haiti,1992/93,July,499.855,330,169.855,30
Philippines,1992/93,July,919.851,750,169.851,1554
Tanzania,1992/93,July,786.434,19.2,767.234,386.772
Zambia,1992/93,July,29.307,1.432,27.875,1
Benin,1992/93,October,1.805,0,1.805,0
Cameroon,1992/93,October,260.376,83.333,177.043,991
Central African Republic,1992/93,October,133.845,28,105.845,64
Colombia,1992/93,October,15189.131,1300,13889.131,7864
"Congo, Dem. Rep. of",1992/93,October,1180.157,200,980.157,21
Costa Rica,1992/93,October,2997.974,375,2622.974,229.345
Côte d'Ivoire,1992/93,October,2245.536,50,2195.536,3574
El Salvador,1992/93,October,3001.301,230,2771.301,354.43
Equatorial Guinea,1992/93,October,1.686,0,1.686,2
Ethiopia,1992/93,October,1825.171,1331,494.171,4652
Gabon,1992/93,October,3.063,0.8,2.263,1.122
Ghana,1992/93,October,36.602,17,19.602,43
Guatemala,1992/93,October,4318.483,300,4018.483,153.317
Guinea,1992/93,October,76.341,62.5,13.841,10
Guyana,1992/93,October,,,0,0
Honduras,1992/93,October,1918.209,240,1678.209,318.342
India,1992/93,October,2823.497,917,1906.497,1253
Jamaica,1992/93,October,25.583,6,19.583,8
Kenya,1992/93,October,1315.548,50,1265.548,617.033
"Lao, People's Dem. Rep. of",1992/93,October,,,0,0
Liberia,1992/93,October,3,3,0,0
Mexico,1992/93,October,3400.811,1300,2100.811,985
Nepal,1992/93,October,,,0,0
Nicaragua,1992/93,October,547.294,65.6,481.694,39.6
Nigeria,1992/93,October,48.882,35.75,13.132,0
Panama,1992/93,October,196.978,67,129.978,60.832
Sierra Leone,1992/93,October,39.084,9,30.084,45
Sri Lanka,1992/93,October,53.181,28,25.181,1
Thailand,1992/93,October,1254.945,233,1021.945,273
Togo,1992/93,October,85.648,1,84.648,154
Trinidad & Tobago,1992/93,October,14.328,10,4.328,4.293
Uganda,1992/93,October,2185.074,75,2110.074,2900
Venezuela,1992/93,October,1215.298,849.97,365.328,362.545
Vietnam,1992/93,October,2340.447,250,2090.447,85
Yemen,1992/93,October,,,0,0
Angola,1993/94,April,32.608,20,12.608,111
Bolivia,1993/94,April,57.323,35,22.323,25.2
Brazil,1993/94,April,28166.9786,9100,19066.9786,28921
Burundi,1993/94,April,393.354,1.91,391.444,0
Ecuador,1993/94,April,2069.007,350,1719.007,100
Indonesia,1993/94,April,6743.288,1359,5384.288,1562
Madagascar,1993/94,April,441.859,360,81.859,455.333
Malawi,1993/94,April,62.111,2,60.111,25
Papua New Guinea,1993/94,April,1019.481,2,1017.481,49
Paraguay,1993/94,April,70.046,20,50.046,105
Peru,1993/94,April,665.497,200,465.497,500
Rwanda,1993/94,April,443.625,1,442.625,6
Timor-Leste,1993/94,April,,,0,0
Zimbabwe,1993/94,April,11.6,8.333,3.267,53.243
"Congo, Rep. of",1993/94,July,3,3,0,11
Cuba,1993/94,July,285.404,194.1,91.304,192
Dominican Republic,1993/94,July,603.944,320,283.944,196
Haiti,1993/94,July,450.697,330,120.697,30
Philippines,1993/94,July,874.855,770,104.855,1102
Tanzania,1993/94,July,734.375,17.5,716.875,200.4
Zambia,1993/94,July,26.606,1,25.606,0
Benin,1993/94,October,0.05,0,0.05,0
Cameroon,1993/94,October,682.913,100,582.913,240.641
Central African Republic,1993/94,October,165.574,25,140.574,14
Colombia,1993/94,October,10297.602,1400,8897.602,7224
"Congo, Dem. Rep. of",1993/94,October,980.261,200,780.261,6
Costa Rica,1993/94,October,2358.753,375,1983.753,190
Côte d'Ivoire,1993/94,October,2293.407,50,2243.407,655
El Salvador,1993/94,October,2378.482,230,2148.482,134.78
Equatorial Guinea,1993/94,October,0,0,0,2
Ethiopia,1993/94,October,2967.004,1402,1565.004,3986
Gabon,1993/94,October,2.884,0.8,2.084,0.2
Ghana,1993/94,October,45.381,17,28.381,20.3
Guatemala,1993/94,October,3535.501,310,3225.501,153.317
Guinea,1993/94,October,63.806,33,30.806,8.334
Guyana,1993/94,October,,,,0
Honduras,1993/94,October,1829.179,230,1599.179,100
India,1993/94,October,3533.181,833.333,2699.848,1479
Jamaica,1993/94,October,34.287,9.6,24.687,1.27
Kenya,1993/94,October,1328.112,50,1278.112,470.673
"Lao, People's Dem. Rep. of",1993/94,October,,,,0
Liberia,1993/94,October,5,5,0,0
Mexico,1993/94,October,5023.488,1070,3953.488,201.25
Nepal,1993/94,October,,,,0
Nicaragua,1993/94,October,706.13,108.9,597.23,4.6
Nigeria,1993/94,October,45.319,40,5.319,0
Panama,1993/94,October,142.066,67,75.066,41
Sierra Leone,1993/94,October,37.451,5,32.451,32
Sri Lanka,1993/94,October,53.79,20,33.79,19
Thailand,1993/94,October,1275.201,250,1025.201,253
Togo,1993/94,October,194.939,1,193.939,25
Trinidad & Tobago,1993/94,October,16.079,10,6.079,4
Uganda,1993/94,October,3141.706,75,3066.706,3000
Venezuela,1993/94,October,1332.881,885.93,446.951,249
Vietnam,1993/94,October,3020.216,267,2753.216,0
Yemen,1993/94,October,,,0,0
Angola,1994/95,April,76.802,25,51.802,96
Bolivia,1994/95,April,122.444,35,87.444,11
Brazil,1994/95,April,28192.047,9300,18892.047,29227
Burundi,1994/95,April,664.143,2,662.143,38.574
Ecuador,1994/95,April,2375.766,350,2025.766,230
Indonesia,1994/95,April,5367.878,1400,3967.878,1644
Madagascar,1994/95,April,641.372,166.666,474.706,15.833
Malawi,1994/95,April,84.112,2,82.112,10
Papua New Guinea,1994/95,April,1138.659,2,1136.659,38
Paraguay,1994/95,April,24.689,20,4.689,100
Peru,1994/95,April,1178.628,200,978.628,120
Rwanda,1994/95,April,22.449,1,21.449,1.2
Timor-Leste,1994/95,April,,,0,0
Zimbabwe,1994/95,April,106.302,8.333,97.969,0
"Congo, Rep. of",1994/95,July,7.585,3,4.585,11
Cuba,1994/95,July,284.315,194,90.315,151
Dominican Republic,1994/95,July,729.67,330,399.67,193
Haiti,1994/95,July,450.246,330,120.246,30
Philippines,1994/95,July,876.764,790,86.764,1108
Tanzania,1994/95,July,679.024,17.5,661.524,38.583
Zambia,1994/95,July,21.455,1.5,19.955,0
Benin,1994/95,October,0,0,0,0
Cameroon,1994/95,October,405.557,100,305.557,198.198
Central African Republic,1994/95,October,249.512,15,234.512,8.333
Colombia,1994/95,October,12862.47,1375,11487.47,3437
"Congo, Dem. Rep. of",1994/95,October,1297.805,200,1097.805,81
Costa Rica,1994/95,October,2481.942,375,2106.942,100
Côte d'Ivoire,1994/95,October,3006.444,50,2956.444,183.335
El Salvador,1994/95,October,2293.468,230,2063.468,199.92
Equatorial Guinea,1994/95,October,3.193,0,3.193,0.2
Ethiopia,1994/95,October,2762.73,1476,1286.73,4219
Gabon,1994/95,October,7.701,1,6.701,1.093
Ghana,1994/95,October,57.176,28,29.176,21
Guatemala,1994/95,October,3787.336,310,3477.336,240
Guinea,1994/95,October,198.357,50,148.357,11.667
Guyana,1994/95,October,,,,0
Honduras,1994/95,October,2180.73,253,1927.73,38
India,1994/95,October,3001.897,833.333,2168.564,1020
Jamaica,1994/95,October,44.598,15,29.598,8.921
Kenya,1994/95,October,1663.131,50,1613.131,289
"Lao, People's Dem. Rep. of",1994/95,October,,,,0
Liberia,1994/95,October,5,5,0,0
Mexico,1994/95,October,4158.777,1020,3138.777,884
Nepal,1994/95,October,,,,0
Nicaragua,1994/95,October,682.969,89.6,593.369,11.1
Nigeria,1994/95,October,51.631,40,11.631,0
Panama,1994/95,October,248.313,76.667,171.646,21.71
Sierra Leone,1994/95,October,72.738,5,67.738,0
Sri Lanka,1994/95,October,42.448,20,22.448,5
Thailand,1994/95,October,1399.135,283,1116.135,173
Togo,1994/95,October,176.296,1,175.296,25
Trinidad & Tobago,1994/95,October,18.435,14,4.435,0
Uganda,1994/95,October,2392.753,80,2312.753,3000
Venezuela,1994/95,October,988.996,923.4,65.596,250
Vietnam,1994/95,October,3631.609,267,3364.609,0
Yemen,1994/95,October,,,0,0
Angola,1995/96,April,62.109,10,52.109,36
Bolivia,1995/96,April,151.985,40,111.985,12.5
Brazil,1995/96,April,18060.2022,10100,7960.2022,32161
Burundi,1995/96,April,433.98,2,431.98,120.59
Ecuador,1995/96,April,1888.233,350,1538.233,100
Indonesia,1995/96,April,4573.429,1443,3130.429,1386
Madagascar,1995/96,April,785.009,167,618.009,16
